Number,Gene Name
1139,TPSG1
1140,HS3ST2
1141,KCNK2
1142,TSPAN16
1143,OR4K13
1144,PIGF
1145,TOR1AIP1
1146,CLEC4A
1147,SCAMP4
1148,OR10D4P
1149,OR5AS1
1150,REEP5
1151,PCNX4
1152,UPK3BL1
1153,SLC9B2
1154,IL13RA1
1155,C1orf43
1156,ERLIN1
1157,COX15
1158,TSPAN17
1159,SLC39A3
1160,MFSD4B
1161,KCNG1
1162,DPM3
1163,SLC25A1
1164,SYNE3
1165,TMEM266
1166,CMTM8
1167,ADAM19
1168,OR6C68
1169,ROBO1
1170,DCSTAMP
1171,OXA1L
1172,MS4A15
1173,ATP10A
1174,FZD10
1175,CCR10
1176,TMEM233
1177,CHST9
1178,WSCD1
1179,PTGES
1180,APLP1
1181,MMP24
1182,PCDHB7
1183,MIR17HG
1184,NPY6R
1185,TYRO3
1186,SUN3
1187,GPR83
1188,OR13C3
1189,ERAP2
1190,OR10W1
1191,CD207
1192,KHDC1
1193,HLA-DMB
1194,NAALADL1
1195,AWAT1
1196,MINAR2
1197,EVA1A
1198,SCAMP5
1199,FPR1
1200,PKHD1
1201,CLCN6
1202,TRIQK
1203,KCNQ1
1204,BAK1
1205,TMPRSS3
1206,GP6
1207,CREB3L4
1208,ERBB4
1209,PCNX3
1210,OR1J1
1211,MPEG1
1212,ROBO3
1213,SPATA31D4
1214,CMTM3
1215,PRAF2
1216,TAS2R9
1217,ECE2
1218,ABHD12
1219,MCOLN1
1220,GALNT15
1221,SSR2
1222,SLC7A5
1223,TENM1
1224,LDLRAD4
1225,SLC29A1
1226,UGT2B10
1227,RNF19B
1228,CYYR1
1229,KCNG3
1230,NYNRIN
1231,FRMD3
1232,GJB2
1233,ST3GAL4
1234,NPY5R
1235,ITGA4
1236,KIAA1549
1237,ELAPOR1
1238,RHOT2
1239,TMC2
1240,LRP2
1241,TIMM17A
1242,PIGR
1243,EPHX4
1244,LPCAT4
1245,SLCO4C1
1246,EXD2
1247,SLC25A16
1248,CRTAM
1249,CLEC4F
1250,OR6C76
1251,SV2B
1252,OR5H2
1253,PTGDR2
1254,OR51Q1
1255,ZPLD1
1256,SIGLEC12
1257,ALG6
1258,SLC35G5
1259,NDUFA4
1260,TMX3
1261,ACVR1C
1262,CTAGE1
1263,OCSTAMP
1264,EVA1C
1265,SORCS1
1266,TGFBR3L
1267,OR6C4
1268,TMEM179B
1269,SDC3
1270,CHRNB3
1271,OR1C1
1272,C18orf15
1273,SLC25A31
1274,PTDSS1
1275,OR2T7
1276,GPR137B
1277,ERVK-9
1278,SLC25A34
1279,OR1D2
1280,SEC63
1281,CYP4F8
1282,FCGR2C
1283,FAM162B
1284,MFSD1
1285,MICA
1286,YIPF5
1287,EPGN
1288,TMEM39A
1289,EXT1
1290,CDH22
1291,PTPN5
1292,ZDHHC11B
1293,PKD1L1
1294,BTN2A2
1295,CLEC9A
1296,TMEM164
1297,OR56A3
1298,OR8A1
1299,SLC27A2
1300,RXFP3
1301,CD69
1302,LCT
1303,SCN2B
1304,IGSF3
1305,SMIM1
1306,AUP1
1307,SEL1L3
1308,PIGB
1309,PET100
1310,SMDT1
1311,TMPRSS4
1312,STEAP4
1313,NAT8L
1314,FAS
1315,TMEM138
1316,HLA-DQB2
1317,QRFPR
1318,LINC00596
1319,MTCH2
1320,HHLA2
1321,ADRA2B
1322,GRAMD4
1323,CR1
1324,OR51D1
1325,CD28
1326,ABCC6
1327,MALL
1328,B3GALNT2
1329,UCP2
1330,ATP1A3
1331,OR6T1
1332,TAAR1
1333,ACP4
1334,CLIC1
1335,OR51B5
1336,KCNA4
1337,PLAAT4
1338,CATSPER2
1339,KCNN2
1340,VSTM1
1341,OR14A2
1342,SHISA9
1343,TPBG
1344,SLC50A1
1345,FXYD7
1346,BTNL3
1347,MPV17L2
1348,LIM2
1349,CSF2RA
1350,EMC10
1351,TMEM201
1352,QSOX2
1353,ITGA6
1354,NIPAL3
1355,LARGE2
1356,RPN1
1357,SACM1L
1358,APCDD1L
1359,XKR5
1360,GCGR
1361,OR11A1
1362,CLSTN3
1363,FMO1
1364,GPR61
1365,CLMP
1366,AQP12B
1367,SYVN1
1368,TMCC1
1369,KCNK9
1370,AGPAT1
1371,SLC25A26
1372,CDH16
1373,LNPEP
1374,PIGX
1375,FAM189B
1376,SLC24A1
1377,OR10G9
1378,PLAAT3
1379,PTPRE
1380,ADGRA2
1381,RRH
1382,OR2L13
1383,CHRNA1
1384,KCT2
1385,TMEM71
1386,CERS3
1387,CACNG3
1388,MS4A5
1389,SCAMP2
1390,OR52L2P
1391,SPTLC3
1392,GDPD2
1393,UQCR10
1394,REEP4
1395,OR9Q1
1396,CWH43
1397,MARCHF6
1398,TSPAN15
1399,PPP1R3A
1400,REEP6
1401,GPR78
1402,FUT6
1403,MRAP2
1404,PCDHA10
1405,PRRT1
1406,ANKH
1407,GDPD5
1408,STIM2
1409,PARL
1410,SIGIRR
1411,IFI27L1
1412,CD58
1413,PCDHB11
1414,TMEM221
1415,TAPT1
1416,SI
1417,GLT8D2
1418,TMEM43
1419,OR1L1
1420,TAS2R50
1421,RHBDL2
1422,PTPRCAP
1423,LRRC37A2
1424,OR14L1P
1425,OR8G1
1426,OR4N2
1427,ABCG5
1428,RHEX
1429,GPR88
1430,GPR21
1431,OR2AJ1
1432,GRIN3A
1433,MOGAT3
1434,OR9A2
1435,CACFD1
1436,SLC1A7
1437,ARFGEF3
1438,C2orf74
1439,ENPP3
1440,TMEM269
1441,MRGPRF
1442,SLC22A6
1443,CD209
1444,CT83
1445,NLGN2
1446,OPRD1
1447,KMO
1448,P2RY6
1449,PROCR
1450,SLC26A9
1451,OR8G2P
1452,SUN5
1453,TMED10
1454,PCDHGB4
1455,ANPEP
1456,M6PR
1457,LPAR5
1458,SPATA31A5
1459,TMEM242
1460,SERTM2
1461,MBOAT4
1462,GPR171
1463,RNF121
1464,TMC6
1465,OR2T35
1466,PLXNB3
1467,PIGW
1468,C9orf135
1469,SMIM6
1470,PMIS2
1471,ZDHHC20
1472,TLR10
1473,ABCA6
1474,HRK
1475,EFNB2
1476,VN1R5
1477,TRHDE
1478,ADGRE4P
1479,MFSD6L
1480,SLC34A2
1481,GHR
1482,KNCN
1483,NCAM2
1484,HS3ST5
1485,MPIG6B
1486,ABCB5
1487,SIRPB1
1488,MOSPD1
1489,OR5P3
1490,P2RX5
1491,EPHB2
1492,CLCNKA
1493,CNTNAP5
1494,UGT2A1
1495,PILRB
1496,GOLGB1
1497,HIGD1B
1498,TMEM218
1499,MERTK
1500,GAFA1
1501,OR2T29
1502,GGT5
1503,NRCAM
1504,FAM8A1
1505,ADGRB2
1506,STEAP1
1507,AFG3L2
1508,CERS2
1509,OR4C3
1510,SLC3A2
1511,GIMAP5
1512,SLC16A1
1513,SDC4
1514,BST2
1515,MTDH
1516,SLC9B1
1517,GRIA1
1518,SLC30A6
1519,FAM174C
1520,CD163
1521,TIGIT
1522,CHRNA7
1523,PCDHGC5
1524,LEPROTL1
1525,NDUFB11
1526,NPY4R2
1527,CACNA2D1
1528,IL1RAP
1529,OR2T6
1530,B4GALT2
1531,XYLT1
1532,IL13RA2
1533,OR10V1
1534,KCNJ11
1535,OR12D1
1536,OR5F1
1537,CD79A
1538,FCMR
1539,LRRC4
1540,SPEM3
1541,FCER2
1542,TMEM63C
1543,OR5D14
1544,CLEC2L
1545,TMUB2
1546,GLIPR1
1547,GPR132
1548,CLRN1
1549,EPHB4
1550,IFITM1
1551,CNGA3
1552,SIRPB1
1553,B4GALT4
1554,INSR
1555,RMDN3
1556,NLGN1
1557,LHFPL6
1558,MS4A8
1559,RNF186
1560,SORCS2
1561,SLC7A2
1562,ATP8B4
1563,MALRD1
1564,LTK
1565,FCRL1
1566,SLC28A3
1567,VN1R1
1568,CADM4
1569,DMAC1
1570,TAS2R8
1571,ITGB2
1572,PCDH12
1573,DNAJB12
1574,FAM74A1
1575,PRRG3
1576,SEL1L
1577,SLC25A32
1578,OR10H1
1579,TMEM41B
1580,SLC41A3
1581,SMIM4
1582,CLDN11
1583,SLC24A3
1584,CHST3
1585,LRRN2
1586,HS6ST3
1587,GALNT13
1588,UGT2B28
1589,PDGFRB
1590,L1CAM
1591,LMBR1L
1592,SLC22A16
1593,LHFPL1
1594,CD226
1595,TGFBR1
1596,HLA-DRB4
1597,BTN3A1
1598,TMEFF1
1599,CD244
1600,BDKRB1
1601,CATSPERB
1602,CDH19
1603,KCNN1
1604,LTB
1605,CLCA2
1606,CHST2
1607,TAS2R16
1608,CD19
1609,OR52P1P
1610,SLCO1B1
1611,PLXNB1
1612,ROMO1
1613,TOR4A
1614,TTMP
1615,OR4D2
1616,GPX8
1617,IGSF6
1618,NPIPB3
1619,ATL1
1620,DHRS7B
1621,O42043
1622,OR52N4
1623,G6PC3
1624,TMC4
1625,SLC9C2
1626,BTLA
1627,NPC1
1628,CACNA1B
1629,MGST3
1630,SLC35B2
1631,CD47
1632,ABCG8
1633,SMIM14
1634,KCNJ8
1635,IL9R
1636,NRG3
