Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
6001,ZBTB40,4.214491514553603e-05,False
6002,PHF10,4.209411384561831e-05,False
6003,MDH1,4.208988125979237e-05,False
6004,RASSF1,4.208915240129165e-05,False
6005,MTA1,4.207475540317887e-05,False
6006,BCAT2,4.205091329959932e-05,False
6007,TIMM44,4.205046725869435e-05,False
6008,FAM45A,4.2050337690074606e-05,False
6009,RNF4,4.2034858669104086e-05,False
6010,PPP4R3A,4.202761522256264e-05,False
6011,TAOK2,4.199922858580236e-05,True
6012,SLC35E2B,4.1990630823070696e-05,True
6013,GPALPP1,4.198796507680486e-05,False
6014,TUSC3,4.1960142568617344e-05,True
6015,DUSP15,4.195433991393988e-05,False
6017,ZNF18,4.1940391440848805e-05,False
6019,AZIN1,4.193175150051987e-05,False
6020,COX19,4.193035050760192e-05,False
6021,PPIG,4.192397299923907e-05,False
6022,C14orf159,4.188752742626234e-05,False
6023,C19orf12,4.186509275385022e-05,True
6024,NTPCR,4.184779447292831e-05,False
6025,SOX12,4.184175348937285e-05,False
6026,EBF1,4.181535417515416e-05,False
6027,CA14,4.17968907332969e-05,True
6028,UEVLD,4.1794906542324295e-05,False
6029,NLRP1,4.177221594168994e-05,False
6031,SUFU,4.176600542878329e-05,False
6032,TARS,4.175938125883705e-05,False
6033,PNKD,4.17527352003427e-05,False
6034,PTPA,4.174303993155229e-05,False
6035,NOS1,4.17408338417172e-05,False
6036,FAM49A,4.174055495403261e-05,False
6038,BMP7,4.170769940074264e-05,False
6039,NDUFB9,4.1687805046697975e-05,False
6040,RABEPK,4.168668156885039e-05,False
6041,ZNF814,4.167570731563018e-05,False
6042,DPH5,4.16630414366775e-05,False
6044,NUCB1,4.164429182279908e-05,False
6045,RHOT2,4.164155397245009e-05,True
6046,VEGFB,4.163834289720584e-05,False
6047,SUDS3,4.161698549783631e-05,False
6048,MTMR1,4.161327637954005e-05,False
6049,OAF,4.160790491954581e-05,False
6050,TM6SF1,4.160726060678086e-05,True
6051,RNF8,4.1599516289734685e-05,False
6052,ZSCAN31,4.159295622640373e-05,False
6053,PBXIP1,4.15910288685932e-05,False
6055,PFDN5,4.1569079803246864e-05,False
6056,PRDX4,4.155517341056141e-05,False
6057,GPC4,4.1554828862173086e-05,False
6058,SPTAN1,4.153701903118952e-05,False
6059,FADS3,4.153349809101298e-05,True
6060,ST8SIA3,4.152655838495256e-05,True
6061,TCHP,4.151597483748692e-05,False
6062,STON2,4.150503740188515e-05,False
6063,L3MBTL1,4.149358076903884e-05,False
6064,CPSF2,4.148635880015496e-05,False
6065,NOL9,4.147883727402378e-05,False
6066,BLOC1S2,4.147375606727805e-05,False
6067,TRMT61B,4.146275201145661e-05,False
6068,PPIL4,4.146163817905146e-05,False
6069,EPN1,4.1444899546293815e-05,False
6070,BRINP1,4.143781739490619e-05,False
6072,WDFY4,4.1420841148808416e-05,False
6073,TSEN2,4.14109524399506e-05,False
6074,TSPAN11,4.140883103773136e-05,True
6075,CLEC2D,4.140423039214672e-05,True
6076,DEPDC5,4.140290880459424e-05,False
6077,MCFD2,4.139799267483165e-05,False
6078,ILK,4.1391278576447606e-05,False
6079,SEC31B,4.138769049065053e-05,False
6080,ZNF385B,4.1376066286938285e-05,False
6081,CORO1B,4.137359916948992e-05,False
6082,TM7SF3,4.135386389213071e-05,True
6083,TMEM134,4.1349033199500806e-05,True
6084,VPS36,4.132853919552794e-05,False
6085,CHMP4B,4.130240684452884e-05,False
6087,ADAMTS2,4.127604778898297e-05,False
6088,UPF3B,4.126843702694606e-05,False
6089,ZNF692,4.1257425742537295e-05,False
6090,SCAMP2,4.1244454754746873e-05,True
6091,MRPS27,4.122166993609775e-05,False
6092,GPX3,4.119636654235398e-05,False
6093,ZNF611,4.119260805457407e-05,False
6094,CLDN15,4.1182611855753705e-05,True
6095,ZNF720,4.1178443699552175e-05,False
6096,FAM189A1,4.11652874013137e-05,True
6097,MAN2B2,4.109046425841002e-05,False
6098,NUB1,4.108280987276965e-05,False
6099,EIF1,4.106781281330155e-05,False
6100,MANEA,4.106481007190977e-05,True
6101,CNOT7,4.104477387892266e-05,False
6102,CSF1R,4.104367171509004e-05,True
6103,FTCD,4.104098337871362e-05,False
6104,PRAM1,4.103308191472062e-05,False
6105,CCNI,4.103007399377039e-05,False
6106,RECQL,4.10033579893992e-05,False
6107,ACADVL,4.098770806492066e-05,False
6108,DUSP3,4.097220072716769e-05,False
6109,KCTD6,4.095883081866278e-05,False
6110,C17orf67,4.095721206677573e-05,False
6111,CHMP5,4.095204869491224e-05,False
6113,LATS2,4.092223011957792e-05,False
6114,GNG2,4.092044506897655e-05,False
6115,CPT1C,4.090923909750005e-05,True
6116,IFNAR1,4.0905208596079736e-05,True
6117,PITRM1,4.09040054119623e-05,False
