Number,Gene Name
1528,OR51B2
1529,HEG1
1530,TMEM97
1531,CHRNB2
1532,CUZD1
1533,KCNK3
1534,HTR2C
1535,ADAM29
1536,TENM3
1537,ADGRA2
1538,OR12D1
1539,RIC3
1540,TMPRSS11B
1541,ZFPL1
1542,CXorf1
1543,TMEM250
1544,TMTC3
1545,PIGO
1546,CD300E
1547,EXTL2
1548,SPNS2
1549,PLXDC1
1550,OR13C2
1551,LVRN
1552,COA3
1553,ITGAD
1554,PILRA
1555,CD8B
1556,OR10A2
1557,TMEM167B
1558,SLC35C1
1559,EXD2
1560,STOML3
1561,SLAMF7
1562,F2RL2
1563,SYNPR
1564,MCHR2
1565,KCNG1
1566,TMC8
1567,SLC10A6
1568,AXL
1569,SCNN1D
1570,XKRY2
1571,GPR135
1572,TMEM179B
1573,RNF182
1574,AMN
1575,GPR3
1576,PEX2
1577,SLC6A1
1578,SEMA6C
1579,AGTR1
1580,OR2K2
1581,CKAP4
1582,VN1R1
1583,YIPF7
1584,LILRB1
1585,MC4R
1586,TMPO
1587,RHAG
1588,SLC16A8
1589,TXNDC15
1590,ADAM8
1591,OR5B2
1592,IL1R1
1593,OR10Z1
1594,ERGIC2
1595,RHBDL3
1596,MARVELD3
1597,SLC39A12
1598,TMEM71
1599,LRRN2
1600,CYSLTR1
1601,CLPTM1L
1602,SLC22A11
1603,TMCO5A
1604,CHRNA2
1605,TENM4
1606,LRRN4
1607,OR11A1
1608,FAIM2
1609,UNC80
1610,RPRML
1611,VKORC1L1
1612,NRROS
1613,SIGLEC11
1614,NCAM1
1615,IL21R
1616,MAGT1
1617,GJC3
1618,MCTP2
1619,OR7A5
1620,SLC24A5
1621,SLC25A46
1622,SLC22A4
1623,A6NDX4
1624,SLC22A3
1625,ST8SIA5
1626,HBEGF
1627,ADRA2C
1628,CD40
1629,GABBR1
1630,CLRN1
1631,SLC12A8
1632,GALNT10
1633,SLC6A12
